gene.ids,SRX003935,SRX003921,SRX003924,SRX003923,SRX003925,SRX003932,SRX003920,SRX003922,SRX001291,SRX001364,SRX001365,SRX001366,SRX001367,SRX001368,SRX003931,SRX003929,SRX003928,SRX003934,SRX003926,SRX003927,SRX003930,SRX003933
ENSG00000121966,19,0,0,37,3,762,16,81,2,1,9,12,19,15,139,36,42,4388,12,169,32,176
ENSG00000122042,93,46,77,281,130,106,488,90,61,39,185,172,135,203,138,81,91,114,193,120,126,264
ENSG00000122299,160,202,507,320,203,148,128,113,102,76,264,250,244,317,100,147,92,157,112,176,312,189
ENSG00000122304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67206
ENSG00000122378,119,137,29,116,113,1295,182,689,29,18,88,88,59,74,314,101,86,179,114,47,30,260
ENSG00000122386,42,55,59,53,37,105,19,41,29,13,60,57,81,75,194,15,12,88,10,3,23,90
ENSG00000122390,73,38,69,63,66,71,19,23,16,17,75,59,85,71,60,34,42,67,24,19,36,117
ENSG00000122574,2,0,0,5,1,44,112,11,27,15,49,46,73,67,25,15,3,22,41,3,264,627
ENSG00000122641,0,673,6,44,0,19,1,47,2,5,3,6,12,6,11,15,12,19,1,22,5,109
ENSG00000122679,0,0,0,578,0,661,48,233,10,7,12,11,28,14,529,118,60,734,10,13,121,309
ENSG00000122687,131,63,186,93,127,36,27,36,21,13,60,44,52,50,43,14,26,60,14,58,35,91
ENSG00000122692,200,153,356,101,169,201,303,119,112,119,240,245,231,288,158,90,95,219,165,103,204,342
ENSG00000122694,0,2,1,11,2,298,53,214,11,6,44,25,32,25,351,21,7,117,10,8,7,145
ENSG00000122729,59,165,486,75,119,759,63,759,34,29,86,84,120,133,185,291,320,196,39,103,185,188
ENSG00000122756,3,0,0,2,7,574,185,232,143,140,412,399,673,541,55,16,14,164,89,5,537,182
ENSG00000122778,675,62,125,218,259,42,86,40,7,8,17,32,27,38,32,24,7,29,21,59,4,196
ENSG00000122862,0,6,86,0,12,1802,73,241,18,18,65,58,38,55,1015,255,161,1453,87,70,61,284
ENSG00000122863,151,1070,1578,28,62,1117,302,610,61,44,217,165,207,180,1259,417,55,522,160,121,344,2348
ENSG00000122965,533,305,552,240,563,378,118,175,100,71,310,290,385,247,387,155,124,485,83,139,465,481
ENSG00000122971,16,43,215,95,103,1166,69,780,38,19,87,74,77,101,849,434,1478,233,31,60,872,753
ENSG00000122986,0,2,0,0,1,92,54,52,17,20,29,53,36,52,65,78,22,309,60,8,68,840
ENSG00000123009,520,856,718,972,364,496,34,242,15,19,48,63,129,75,354,57,108,524,24,173,324,231
ENSG00000123064,2437,1694,1602,2307,1905,2055,301,875,184,161,598,555,781,711,1406,398,531,1399,135,488,3095,1402
ENSG00000123066,1101,792,331,2922,4627,1732,570,650,445,308,1243,1087,1468,1422,1094,552,237,1080,463,300,1292,1712
ENSG00000123080,47,19,221,69,149,135,32,374,12,10,30,27,38,31,206,54,23,169,25,132,28,161
ENSG00000123091,109,168,96,128,108,250,391,225,119,92,232,252,310,180,164,185,81,143,184,54,196,185
ENSG00000123094,25,27,220,56,18,106,99,44,25,21,88,79,93,76,118,48,12,50,61,54,97,433
ENSG00000123095,23,377,100,3,2,334,1121,664,227,209,776,689,872,800,330,119,4,617,426,63,585,400
ENSG00000123096,8,11,0,2,1,57,73,137,9,11,51,51,30,34,143,83,1,104,57,6,75,176
ENSG00000123106,36,35,29,51,24,45,173,78,48,35,85,92,56,101,110,119,58,67,146,55,78,233
ENSG00000123136,233,79,345,298,259,94,41,48,34,43,133,100,104,151,82,52,29,271,23,104,93,656
ENSG00000123143,2918,307,4099,2471,1074,6689,830,2290,514,522,1920,1747,2441,1911,6846,1405,338,4745,312,621,2364,6828
ENSG00000123144,2767,2436,3598,3272,1804,3919,1360,2245,1129,783,3267,3061,3257,3948,5994,1152,2814,5959,688,996,1812,5847
ENSG00000123146,66,228,2240,257,237,1354,183,717,7,9,54,50,68,41,995,232,126,2215,28,270,993,1271
ENSG00000123154,322,124,442,285,184,121,48,68,141,117,539,404,585,466,170,32,31,316,69,59,42,249
ENSG00000123159,2474,3604,3240,2514,1543,1228,584,1246,375,315,1111,1145,1398,978,2269,391,319,981,283,317,626,1404
ENSG00000123268,68,91,103,167,100,119,30,56,22,21,54,51,63,79,108,81,48,212,28,84,141,136
ENSG00000123329,0,1,1,1,0,76,15,35,44,29,140,136,211,138,23,23,24,1731,31,14,10,298
ENSG00000123338,0,1,0,0,1,373,63,145,5,8,29,25,22,27,114,117,124,985,24,147,17,144
ENSG00000123349,401,442,442,679,600,1076,545,521,402,305,946,941,717,830,1434,526,529,2350,423,512,575,1520
ENSG00000123352,225,192,347,334,342,95,164,67,104,115,294,304,370,358,153,28,16,264,145,221,51,509
ENSG00000123353,451,648,342,514,927,523,83,202,38,28,104,92,98,98,283,96,353,289,43,150,156,693
ENSG00000123358,243,2,129,40,88,3985,64,1497,43,41,69,159,350,212,2176,567,22,1724,48,83,1284,1906
